code,authors,year,study type,biological response ,duration,temporal scale,functional group,taxon,non-native sp,non-native sp origin,habitat type,stressor type,invasion stage,location,depth,marine realm,study design,before_mean,after_mean,dummy_n,sd_before,sd_after,n_before,n_after,r2,n
15jii,Townhill et al.,2017,model,invader distribution,100 years,very long,filter feeder,clam,Mercenaria mercenaria,Eastern shores of North America and Central America from Prince Edward Island to Yucatan Peninsula,benthic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,1000,10,0.004,2000,NA,NA,NA,NA
15ki,Townhill et al.,2017,model,invader distribution,50 years,long,predator,comb jelly,Mnemiopsis leidyi,western Atlantic,pelagic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,530,10,0.004,1060,NA,NA,NA,NA
15kii,Townhill et al.,2017,model,invader distribution,100 years,very long,predator,comb jelly,Mnemiopsis leidyi,western Atlantic,pelagic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,743,10,0.004,1486,NA,NA,NA,NA
15li,Townhill et al.,2017,model,invader distribution,50 years,long,filter feeder,mussel,Mytilopsis leucophaeata,Gulf of Mexico,benthic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,376,10,0.004,752,NA,NA,NA,NA
15lii,Townhill et al.,2017,model,invader distribution,100 years,very long,filter feeder,mussel,Mytilopsis leucophaeata,Gulf of Mexico,benthic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,565,10,0.004,1130,NA,NA,NA,NA
15mi,Townhill et al.,2017,model,invader distribution,50 years,long,predator,shrimp,Panaeus japonicus,Indian Ocean abd Southwestern Pacific Ocean,benthic,ocean warming,spread,north-west Europe,<= 90 m,Temperate Northern Atlantic,pre-post effect,0.002,842,10,0.004,1684,NA,NA,NA,NA
15mii,Townhill et al.,2017,model,invader distribution,100 years,very long,predator,shrimp,Panaeus japonicus,Indian Ocean abd Southwestern Pacific Ocean,benthic,ocean warming,spread,north-west Europe,<= 90 m,Temperate Northern Atlantic,pre-post effect,0.002,1090,10,0.004,2180,NA,NA,NA,NA
15ni,Townhill et al.,2017,model,invader distribution,50 years,long,predator,sea snail,Rapana venosa,western Pacific,benthic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,624,10,0.004,1248,NA,NA,NA,NA
15nii,Townhill et al.,2017,model,invader distribution,100 years,very long,predator,sea snail,Rapana venosa,western Pacific,benthic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,793,10,0.004,1586,NA,NA,NA,NA
15oi,Townhill et al.,2017,model,invader distribution,50 years,long,filter feeder,clam,Ruditapes philippinarum,western Pacific and parts of Indian Ocean,benthic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,704,10,0.004,1408,NA,NA,NA,NA
15oii,Townhill et al.,2017,model,invader distribution,100 years,very long,filter feeder,clam,Ruditapes philippinarum,western Pacific,benthic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,877,10,0.004,1754,NA,NA,NA,NA
15pi,Townhill et al.,2017,model,invader distribution,50 years,long,primary producer,brown seaweed,Sargassum muticum,Japan,benthic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,381,10,0.004,762,NA,NA,NA,NA
15pii,Townhill et al.,2017,model,invader distribution,100 years,very long,primary producer,brown seaweed,Sargassum muticum,Japan,benthic,ocean warming,spread,north-west Europe,NA,Temperate Northern Atlantic,pre-post effect,0.002,530,10,0.004,1060,NA,NA,NA,NA
15qi,Townhill et al.,2017,model,invader distribution,50 years,long,filter feeder,ascidian,Styela clava,Northwestern Pacific,benthic,ocean warming,spread,north-west Europe,<= 25 m,Temperate Northern Atlantic,pre-post effect,0.002,371,10,0.004,742,NA,NA,NA,NA
15qii,Townhill et al.,2017,model,invader distribution,100 years,very long,filter feeder,ascidian,Styela clava,Northwestern Pacific,benthic,ocean warming,spread,north-west Europe,<= 25 m,Temperate Northern Atlantic,pre-post effect,0.002,515,10,0.004,1030,NA,NA,NA,NA
15ri,Townhill et al.,2017,model,invader distribution,50 years,long,primary producer,kelp,Undaria pinnatifida,"northeast Asia, Russia",benthic,ocean warming,spread,north-west Europe,< = 10 m,Temperate Northern Atlantic,pre-post effect,0.002,173,10,0.004,346,NA,NA,NA,NA
15rii,Townhill et al.,2017,model,invader distribution,100 years,very long,primary producer,kelp,Undaria pinnatifida,"northeast Asia, Russia",benthic,ocean warming,spread,north-west Europe,< = 10 m,Temperate Northern Atlantic,pre-post effect,0.002,228,10,0.004,456,NA,NA,NA,NA
16,Tomanek and Zuzow,2010,experiment,invader performance,1 hour,very short,filter feeder,mussel,Mytilus galloprovincialis,Mediterranean,benthic,ocean warming,spread,"California, USA",NA,Temperate Northern Pacific,pre-post effect,0.013,0.038,10,0.026,0.076,NA,NA,NA,NA
